city,state,attraction_name,category,latitude,longitude,estimated_visit_cost_inr,time_hours,cost_category,city_id,cat_id,costcat_id,budget_id,proximity_score,budget_match
delhi,delhi,national zoological park,zoo,28.6026948,77.247176,0.7068617103138303,1.2663846720508378,medium,30,60,2,2,0.9811418828643864,1.0
delhi,delhi,jantar mantar,observatory,28.6271791,77.2166166,-0.0098080439957037,0.2214307186886533,medium,30,33,2,2,0.9674135186661892,1.0
delhi,delhi,chandni chowk,market,28.6559834,77.2321937,0.5497834079994118,1.2663846720508378,medium,30,24,2,2,0.9367903719893936,1.0
delhi,delhi,national science centre,science,28.625457,77.1622651,1.8653141898826664,3.356292578775207,high,30,42,0,1,0.928142467637032,1.0
delhi,delhi,garden of five senses,park,28.5137724,77.1983445,0.0294615315829008,0.2214307186886533,medium,30,35,2,2,0.8970669993718149,1.0
delhi,delhi,sunder nursery,park,28.5969098,77.2470188,-0.0392602256796572,0.2214307186886533,medium,30,35,2,2,0.9810442465224892,1.0
delhi,delhi,national gallery of modern art,museum,28.6096334,77.2341764,0.5890529835780165,1.2663846720508378,medium,30,31,2,2,0.988092652276523,1.0
digha,west bengal,digha beach,beach,21.6223631,87.5248765,-0.3337820425191918,-0.301046257992439,medium,31,2,2,2,1.0,1.0
diu,daman and diu,diu fort,fort,20.4148865,72.8334609,-0.3337820425191918,-0.301046257992439,medium,32,13,2,2,1.0216383294903151e-11,1.0
diu,daman and diu,naida caves,cave,20.7109607,70.980783,-0.6283038593587263,-0.8235232346735313,low,32,6,1,0,0.0009413933963637,1.0
dwarka,gujarat,dwarkadhish temple,temple,22.2377737,68.9675115,-0.0392602256796572,0.2214307186886533,medium,33,49,2,2,1.0,1.0
fatehpur sikri,uttar pradesh,buland darwaza,monument,27.0943123,77.6627939,0.0392789254775519,0.2214307186886533,medium,34,28,2,2,1.0,1.0
gandhinagar,gujarat,akshardham,temple,23.2307543,72.6738324,0.5497834079994118,1.2663846720508378,medium,35,49,2,2,0.9777154084883436,1.0
gandhinagar,gujarat,dandi kutir,museum,23.2328055,72.631196,-0.3337820425191918,-0.301046257992439,medium,35,31,2,2,0.977715579248793,1.0
gangtok,sikkim,tsomgo lake,lake,27.3745308,88.7619799,-0.0392602256796572,0.2214307186886533,medium,36,21,2,2,0.9727663852767084,1.0
gangtok,sikkim,nathula pass,hill,27.3868289,88.8308961,9.349898947373974e-06,0.2214307186886533,medium,36,18,2,2,0.9084745614774564,1.0
gangtok,sikkim,baba harbhajan singh temple,temple,27.3658756,88.8378893,-0.6283038593587263,-0.8235232346735313,low,36,49,1,0,0.9083558551939084,1.0
gangtok,sikkim,rumtek monastery,monastery,27.2887582,88.56142,-0.6086690715694241,-0.8235232346735313,medium,36,27,2,2,0.7975850053193727,1.0
goa,goa,fort aguada,fort,15.4923866,73.7735976,-0.3337820425191918,-0.301046257992439,medium,37,13,2,2,0.9061411900275644,1.0
goa,goa,basilica of bom jesus,church,15.5006961,73.9117039,-0.6283038593587263,-0.8235232346735313,low,37,7,1,0,0.9252568053026542,1.0
goa,goa,baga beach,beach,15.5573721,73.75098,-0.0392602256796572,0.2214307186886533,medium,37,2,2,2,0.8455139786081576,1.0
goa,goa,dudhsagar falls,waterfall,15.3156176,74.3142493,1.5315227974645271,1.2663846720508378,high,37,58,0,1,0.4686022416239721,1.0
goa,goa,miramar beach,beach,15.4766811,73.8066757,-0.3337820425191918,-0.301046257992439,medium,37,2,2,2,0.946016889022942,1.0
goa,goa,palolem beach,beach,15.0093077,74.024229,-0.0392602256796572,0.2214307186886533,medium,37,2,2,2,0.4500252031359831,1.0
goa,goa,calangute beach,beach,15.5424885,73.7555617,-0.0392602256796572,0.2214307186886533,medium,37,2,2,2,0.860398311696012,1.0
goa,goa,chapora fort,fort,15.6059531,73.7352845,-0.6283038593587263,-0.8235232346735313,low,37,13,1,0,0.7933790169284717,1.0
goa,goa,anjuna beach,beach,15.5758504,73.7402545,-0.0392602256796572,0.2214307186886533,medium,37,2,2,2,0.8224793182278005,1.0
goa,goa,arambol beach,beach,15.6786308,73.7051496,-0.0392602256796572,0.2214307186886533,medium,37,2,2,2,0.7073334473892126,1.0
goa,goa,colva beach,beach,15.2857909,73.9105447,-0.0392602256796572,0.2214307186886533,medium,37,2,2,2,0.7874771813659082,1.0
goa,goa,se cathedral,church,15.5037349,73.9121938,-0.6283038593587263,-0.8235232346735313,low,37,7,1,0,0.922883933078298,1.0
goa,goa,aguada beach,beach,15.4988795,73.7672505,-0.0392602256796572,0.2214307186886533,medium,37,2,2,2,0.8970296105155866,1.0
gokarna,karnataka,om beach,beach,14.5190647,74.3254238,-0.0392602256796572,0.2214307186886533,medium,38,2,2,2,1.0,1.0
greater noida,uttar pradesh,the grand venice mall,mall,28.4526337,77.5262656,-0.0392602256796572,0.2214307186886533,medium,39,23,2,2,1.0,1.0
guntur,andhra pradesh,uppalapadu bird sanctuary,bird sanctuary,16.3069011,80.5136209,-0.6086690715694241,-0.8235232346735313,medium,40,3,2,2,1.0,1.0
gurugram,haryana,ambience mall,mall,28.5042583,77.0972049,-0.0392602256796572,0.2214307186886533,medium,41,23,2,2,0.9751488039201042,1.0
gurugram,haryana,kingdom of dreams,entertainment,28.4681299,77.0691264,2.709610064822665,1.2663846720508378,high,41,11,0,1,0.9751474511806876,1.0
guwahati,assam,kamakhya temple,temple,26.165107,91.7059298,-0.0392602256796572,0.2214307186886533,medium,42,49,2,2,0.9732748625788566,1.0
guwahati,assam,umananda island,island,26.1964855,91.7449949,-0.6283038593587263,-0.8235232346735313,low,42,20,1,0,0.9732768600811444,1.0
gwalior,madhya pradesh,gwalior fort,fort,26.2235995,78.1665381,0.4025224995796446,0.7439076953697455,medium,43,13,2,2,1.0,1.0
hajo,assam,hayagriva madhava temple,temple,26.2429185,91.526535,-0.6283038593587263,-0.8235232346735313,low,44,49,1,0,1.0,1.0
haridwar,uttarakhand,har ki pauri,ghat,29.9566381,78.1708619,-0.6283038593587263,-0.8235232346735313,low,45,14,1,0,1.0,1.0
hyderabad,telangana,charminar,landmark,17.3616024,78.4746421,-0.5792168898854706,-0.8235232346735313,medium,46,22,2,2,0.9813152623022208,1.0
hyderabad,telangana,inorbit mall cyberabad,mall,17.4345546,78.3866982,-0.0392602256796572,0.2214307186886533,medium,46,23,2,2,0.8895821049910506,1.0
hyderabad,telangana,golconda fort,fort,17.3833665,78.4010991,0.0196441376882496,0.2214307186886533,medium,46,13,2,2,0.926197228695018,1.0
hyderabad,telangana,nehru zoological park,zoo,17.3514419,78.4455598,0.6479573469459234,1.2663846720508378,medium,46,60,2,2,0.961434700920028,1.0
hyderabad,telangana,lumbini park,park,17.4097139,78.4728234,-0.5890342837801218,-0.8235232346735313,medium,46,35,2,2,0.9626962189831386,1.0
hyderabad,telangana,salar jung museum,museum,17.371392,78.4801498,9.349898947373974e-06,0.2214307186886533,medium,46,31,2,2,0.9861469483253272,1.0
hyderabad,telangana,hussain sagar lake,lake,17.4229113,78.475421,-0.6283038593587263,-0.8235232346735313,low,46,21,1,0,0.9474683231622424,1.0
hyderabad,telangana,ramoji film city,film studio,17.2524153,78.6798949,3.396827637448246,2.311338625413023,high,46,12,0,1,0.7308412948580043,1.0
hyderabad,telangana,chowmahalla palace,palace,17.3575817,78.4717055,-0.1767037402047733,-0.301046257992439,medium,46,34,2,2,0.9776180722683004,1.0
hyderabad,telangana,birla mandir,temple,17.4056977,78.4692594,-0.6283038593587263,-0.8235232346735313,low,46,49,1,0,0.9675044892648386,1.0
hyderabad,telangana,qutb shahi tombs,tombs,17.3973713,78.4001622,-0.5792168898854706,-0.8235232346735313,medium,46,51,2,2,0.9220482049960036,1.0
indore,madhya pradesh,rajwada palace,palace,22.7184344,75.8547755,-0.6086690715694241,-0.8235232346735313,medium,47,34,2,2,1.0,1.0
jabalpur,madhya pradesh,dhuandhar falls,waterfall,23.125398,79.8134415,-0.6283038593587263,-0.8235232346735313,low,48,58,1,0,1.0,1.0
jaipur,rajasthan,amber fort,fort,26.9863104,75.8506607,0.1570876522133658,0.2214307186886533,medium,49,13,2,2,0.9513172791694914,1.0
jaipur,rajasthan,hawa mahal,palace,26.923932,75.8268652,-0.5301299204122149,-0.8235232346735313,medium,49,34,2,2,0.9737050532986824,1.0
jaipur,rajasthan,albert hall museum,museum,26.9117053,75.8194973,0.3534355301063888,0.2214307186886533,medium,49,31,2,2,0.9582346417901916,1.0
jaipur,rajasthan,city palace,palace,26.9262096,75.8238346,0.3534355301063888,0.2214307186886533,medium,49,34,2,2,0.9751983446157784,1.0
jaipur,rajasthan,jaigarh fort,fort,26.9837152,75.8452471,-0.2650602852566337,-0.301046257992439,medium,49,13,2,2,0.955867559118524,1.0
jaisalmer,rajasthan,jaisalmer fort,fort,26.9127655,70.9124933,0.3534355301063888,0.7439076953697455,medium,50,13,2,2,1.0,1.0
jalpaiguri,west bengal,gorumara national park,national park,26.7474882,88.8145859,0.7461312858924349,1.2663846720508378,medium,51,32,2,2,1.0,1.0
jammu,jammu and kashmir,vaishno devi,temple,33.027399,74.945375,1.72787067535755,3.356292578775207,high,52,49,0,1,1.0,1.0
jhansi,uttar pradesh,jhansi fort,fort,25.4573176,78.5754799,-0.3043298608352383,-0.301046257992439,medium,53,13,2,2,1.0,1.0
jodhpur,rajasthan,mehrangarh fort,fort,26.2995407,73.0195132,0.1570876522133658,0.2214307186886533,medium,54,13,2,2,1.0,1.0
joshimath,uttarakhand,valley of flowers,national park,30.7056798,79.5958552,2.0223924921970844,3.356292578775207,high,55,32,0,1,1.0,1.0
junagadh,gujarat,gir national park,national park,21.1267789,70.7747952,7.421959134255218,1.2663846720508378,high,56,32,0,1,1.0,1.0
kadapa,andhra pradesh,gandikota fort,fort,14.8133184,78.2874575,-0.3337820425191918,-0.301046257992439,medium,57,13,2,2,1.0,1.0
kangra,himachal pradesh,kangra fort,fort,32.0867046,76.2533449,0.2552615911598773,0.2214307186886533,medium,58,13,2,2,1.0,1.0
kannur,kerala,st. angelo fort,fort,11.8541212,75.3719755,-0.5890342837801218,-0.8235232346735313,medium,59,13,2,2,1.0,1.0
kanyakumari,tamil nadu,vivekananda rock memorial,memorial,8.0783202,77.5549562,-0.5890342837801218,-0.8235232346735313,medium,60,26,2,2,1.0,1.0
kaziranga,assam,kaziranga national park,national park,26.5863767,93.4020882,1.8260446143040616,1.2663846720508378,high,61,32,0,1,1.0,1.0
kedarnath,uttarakhand,kedarnath,temple,30.7351837,79.0668727,-0.3337820425191918,-0.301046257992439,medium,62,49,2,2,1.0,1.0
kinnaur,himachal pradesh,sangla valley,valley,31.3533438,78.3540103,-0.0392602256796572,0.2214307186886533,medium,63,54,2,2,1.0,1.0
kishtwar,jammu and kashmir,kishtwar national park,national park,33.5673765,75.9801829,0.7461312858924349,1.2663846720508378,medium,64,32,2,2,1.0,1.0
kochi,kerala,lulu international shopping mall,mall,10.0272184,76.3078873,0.5497834079994118,1.2663846720508378,medium,65,23,2,2,0.950016522265081,1.0
kochi,kerala,fort kochi,site,9.967569,76.2421901,-0.6283038593587263,-0.8235232346735313,low,65,44,1,0,0.9500140429769652,1.0
kodaikanal,tamil nadu,kodaikanal lake,lake,10.234003,77.4865229,-0.0392602256796572,0.2214307186886533,medium,66,21,2,2,1.0,1.0
kolhapur,maharastra,mahalakshmi temple,temple,16.6948575,74.2228947,-0.6283038593587263,-0.8235232346735313,low,67,49,1,0,1.0,1.0
kolkata,west bengal,howrah bridge,bridge,22.5850528,88.3469761,-0.922825676198261,-1.3460002113546234,low,68,5,1,0,0.9796585013828532,1.0
kolkata,west bengal,science city kolkata,science,22.5400604,88.3958472,0.6675921347352257,1.2663846720508378,medium,68,42,2,2,0.9460629602166908,1.0
kolkata,west bengal,dakshineswar kali temple,temple,22.654827,88.3575776,-0.6283038593587263,-0.8235232346735313,low,68,49,1,0,0.902092148134732,1.0
kolkata,west bengal,victoria memorial,museum,22.5449558,88.3425545,-0.2748776791512848,-0.301046257992439,medium,68,31,2,2,0.9701340735338256,1.0
kolkata,west bengal,kalighat kali temple,temple,22.520211,88.3420596,-0.6283038593587263,-0.8235232346735313,low,68,49,1,0,0.9433347671550548,1.0
kolkata,west bengal,indian museum,museum,22.5575863,88.3510335,0.0589137132668542,0.2214307186886533,medium,68,31,2,2,0.9867862433863104,1.0
kolkata,west bengal,marble palace,palace,22.5821271,88.3602101,-0.6283038593587263,-0.8235232346735313,low,68,34,1,0,0.98371145014154,1.0
kolkata,west bengal,eden gardens,cricket ground,22.5646093,88.3423371,5.458480355324988,1.2663846720508378,high,68,9,0,1,0.986108600992006,1.0
konark,odisha,sun temple,temple,19.8875639,86.0944894,-0.2552428913619826,-0.301046257992439,medium,69,49,2,2,1.0,1.0
kovalam,kerala,kovalam beach,beach,8.3950997,76.9729934,-0.0392602256796572,0.2214307186886533,medium,70,2,2,2,1.0,1.0
kozhikode,kerala,kozhikode beach,beach,11.255511,75.7697038,-0.3337820425191918,-0.301046257992439,medium,71,2,2,2,1.0,1.0
kullu,himachal pradesh,great himalayan national park,national park,31.7968335,77.7239269,0.6479573469459234,1.2663846720508378,medium,72,32,2,2,1.0,1.0
leh,ladakh,pangong tso,lake,33.6850323,78.720047,9.349898947373974e-06,0.2214307186886533,medium,73,21,2,2,0.1721440932560525,1.0
leh,ladakh,magnetic hill,gravity hill,34.1709853,77.3524824,-0.922825676198261,-1.3460002113546234,low,73,16,1,0,0.4255632510434934,1.0
leh,ladakh,thiksey monastery,monastery,34.0565625,77.6667387,-0.2945124669405872,-0.301046257992439,medium,73,27,2,2,0.7484234767075246,1.0
lucknow,uttar pradesh,bara imambara,monument,26.8686449,80.912496,-0.2356081035726802,-0.301046257992439,medium,74,28,2,2,0.9388459213381782,1.0
lucknow,uttar pradesh,phoenix palassio,mall,26.8087716,81.0127929,-0.0392602256796572,0.2214307186886533,medium,74,23,2,2,0.9388347518041028,1.0
madurai,tamil nadu,meenakshi amman temple,temple,9.9195433,78.1188334,-0.0392602256796572,0.2214307186886533,medium,75,49,2,2,1.0,1.0
mahabalipuram,tamil nadu,shore temple,temple,12.6166214,80.199159,-0.5497647082015171,-0.8235232346735313,medium,76,49,2,2,1.0,1.0
majuli,assam,majuli island,river island,27.0129015,94.2746854,-0.0392602256796572,0.2214307186886533,medium,77,40,2,2,1.0,1.0
manali,himachal pradesh,solang valley,valley,32.3160963,77.1565572,-0.0392602256796572,0.2214307186886533,medium,78,54,2,2,1.0,1.0
mandi,himachal pradesh,prashar lake,lake,31.7544774,77.1016413,-0.3337820425191918,-0.301046257992439,medium,79,21,2,2,1.0,1.0
mangalore,karnataka,panambur beach,beach,12.9384859,74.8103562,-0.3337820425191918,-0.301046257992439,medium,80,2,2,2,1.0,1.0
manikaran,himachal pradesh,manikaran sahib,gurudwara,32.0269237,77.3449068,-0.6283038593587263,-0.8235232346735313,low,81,17,1,0,1.0,1.0
matheran,maharashtra,echo point,viewpoint,18.9862195,73.2611377,-0.3337820425191918,-0.301046257992439,medium,82,55,2,2,1.0,1.0
mumbai,maharastra,gateway of india,monument,18.9219661,72.8345657,-0.6283038593587263,-0.8235232346735313,low,83,28,1,0,0.8866201000057151,1.0
mumbai,maharastra,marine drive,promenade,18.9306176,72.8223499,-0.0392602256796572,0.2214307186886533,medium,83,36,2,2,0.8958648653289883,1.0
mumbai,maharastra,siddhivinayak temple,temple,19.0169869,72.8302725,-0.0392602256796572,0.2214307186886533,medium,83,49,2,2,0.9939665522039752,1.0
mumbai,maharastra,sanjay gandhi national park,national park,19.215041,72.9121984,0.6479573469459234,1.2663846720508378,medium,83,32,2,2,0.7644465289356678,1.0
mumbai,maharastra,chhatrapati shivaji maharaj vastu sangrahalaya,museum,18.9268772,72.8325921,0.3534355301063888,-0.8235232346735313,medium,83,31,2,2,0.8922159349208327,1.0
mumbai,maharastra,essel world,amusement park,19.2253824,72.8080979,3.983907792348385,3.356292578775207,high,83,0,0,1,0.7671716327278286,1.0
mumbai,maharastra,haji ali dargah,religious shrine,18.9828229,72.8089926,-0.0392602256796572,0.2214307186886533,medium,83,38,2,2,0.9489410287287988,1.0
mumbai,maharastra,chowpatty beach,beach,18.954359,72.8128787,-0.0392602256796572,0.2214307186886533,medium,83,2,2,2,0.9205176850839724,1.0
mysore,karnataka,mysore palace,palace,12.3052196,76.6553846,0.0589137132668542,0.2214307186886533,medium,84,34,2,2,1.0,1.0
nagpur,maharastra,deekshabhoomi,monument,21.1282013,79.06693,-0.6283038593587263,-0.8235232346735313,low,85,28,1,0,1.0,1.0
nainital,uttarakhand,naini lake,lake,29.3855849,79.4604798,-0.3337820425191918,-0.301046257992439,medium,86,21,2,2,1.0,1.0
namchi,sikkim,char dham,religious complex,27.1735348,88.321995,0.0589137132668542,0.2214307186886533,medium,87,37,2,2,1.0,1.0
nashik,maharastra,sula vineyards,vineyard,20.0064403,73.6876504,0.5497834079994118,0.2214307186886533,medium,88,56,2,2,1.0,1.0
new delhi,delhi,gurudwara bangla sahib,gurudwara,28.6280479,77.2093211,-0.6283038593587263,-0.8235232346735313,low,89,17,1,0,0.9518561727477972,1.0
new delhi,delhi,jama masjid,mosque,28.595544,77.1213161,-0.6283038593587263,-0.8235232346735313,low,89,29,1,0,0.9503621868355584,1.0
new delhi,delhi,rail museum,museum,28.5855294,77.1803985,0.0589137132668542,0.2214307186886533,medium,89,31,2,2,0.977722810975,1.0
noida,uttar pradesh,dlf mall of india,mall,28.5674442,77.321124,-0.0392602256796572,0.2214307186886533,medium,90,23,2,2,0.9915238133326943,1.0
noida,uttar pradesh,okhla bird sanctuary,bird sanctuary,28.5569866,77.3090031,-0.2748776791512848,-0.301046257992439,medium,90,3,2,2,0.991523599034012,1.0
ooty,tamil nadu,ooty lake,lake,11.403417,76.6916789,-0.6086690715694241,-0.8235232346735313,medium,91,21,2,2,1.0,1.0
orchha,madhya pradesh,orchha fort,fort,25.3499086,78.6443859,-0.3141472547298894,-0.301046257992439,medium,92,13,2,2,1.0,1.0
palampur,himachal pradesh,tea gardens,tea plantation,32.1210671,76.5264001,-0.3337820425191918,-0.301046257992439,medium,93,48,2,2,1.0,1.0
port blair,andaman and nicobar islands,cellular jail,landmark,11.6744456,92.7477856,-0.2748776791512848,-0.301046257992439,medium,94,22,2,2,1.0,1.0
puducherry,puducherry,promenade beach,beach,11.9321674,79.8360554,-0.6283038593587263,-0.8235232346735313,low,95,2,1,0,0.963471940949173,1.0
puducherry,puducherry,paradise beach,beach,11.869834,79.8198877,-0.2356081035726802,-0.8235232346735313,medium,95,2,2,2,0.9634716875313276,1.0
pune,maharastra,shaniwar wada,fort,18.5193825,73.8553566,0.0589137132668542,0.2214307186886533,medium,96,13,2,2,1.0,1.0
puri,odisha,jagannath temple,temple,19.8047726,85.8180811,-0.0392602256796572,0.2214307186886533,medium,97,49,2,2,1.0,1.0
pushkar,rajasthan,pushkar lake,temple,26.4875533,74.5540466,-0.3337820425191918,-0.301046257992439,medium,98,49,2,2,1.0,1.0
puttaparthi,andhra pradesh,prasanthi nilayam,spiritual center,14.1658687,77.8077625,-0.6283038593587263,-0.8235232346735313,low,99,45,1,0,1.0,1.0
rameswaram,tamil nadu,ramanathaswamy temple,temple,9.2880968,79.3173756,-0.3337820425191918,-0.301046257992439,medium,100,49,2,2,1.0,1.0
ranchi,jharkhand,pahari mandir,temple,23.3781129,85.3119723,-0.6283038593587263,-0.8235232346735313,low,101,49,1,0,1.0,1.0
ravangla,sikkim,buddha park,park,27.3116732,88.3635699,-0.5301299204122149,-0.8235232346735313,medium,102,35,2,2,1.0,1.0
sambalpur,odisha,hirakud dam,dam,21.5492431,83.9011286,-0.6283038593587263,-0.8235232346735313,low,103,10,1,0,1.0,1.0
shimla,himachal pradesh,the ridge,scenic point,31.1047906,77.1752833,-0.6283038593587263,-0.8235232346735313,low,104,41,1,0,1.0,1.0
shirdi,maharastra,sai baba temple,temple,19.7693867,74.4776481,-0.3337820425191918,-0.301046257992439,medium,105,49,2,2,1.0,1.0
shivamogga,karnataka,jog falls,waterfall,14.2292983,74.8123093,-0.2748776791512848,-0.301046257992439,medium,106,58,2,2,1.0,1.0
somnath,gujarat,somnath temple,temple,20.8877578,70.4013836,-0.0392602256796572,0.2214307186886533,medium,107,49,2,2,1.0,1.0
srinagar,jammu and kashmir,dal lake,lake,34.1137233,74.8700063,-0.0392602256796572,0.2214307186886533,medium,108,21,2,2,1.0,1.0
tarkarli,maharashtra,tarkarli beach,beach,16.014689,73.4895302,-0.0392602256796572,0.2214307186886533,medium,109,2,2,2,1.0,1.0
