state,city,attraction_name,category,description,time_hours,estimated_visit_cost_inr,cost_category,popularity_score,best_time_to_visit,budget_level,popularity_norm,latitude,longitude,dist_km_to_city_center,proximity_score,poi_budget_ord,user_budget_ord,budget_match,target_score,city_id,budget_id,costcat_id,cat_id
andhra pradesh,anantapur,lepakshi,site,historical,-0.301046257992439,-0.3337820425191918,medium,34500,all,moderate,0.018403062172687303,14.6321073,77.6250314,-0.38313784690838787,1.0,1,1,1.0,0.4110418373036123,8,2,2,44
jammu and kashmir,anantnag,amarnath cave,temple,religious,4.4012465321373915,2.316914309036619,high,49500,all,luxury,0.027483520481579066,34.215635,75.5038297,-0.38313784690838787,1.0,2,2,1.0,0.4164901122889474,9,1,0,49
puducherry,auroville,auroville,township,cultural,0.2214307186886533,-0.039260225679657236,medium,14349,all,moderate,0.006204374480522111,12.0098532,79.8109509,-0.38313784690838787,1.0,1,1,1.0,0.4037226246883132,10,2,2,52
uttar pradesh,ayodhya,ram janmabhoomi,religious site,religious,-0.8235232346735313,-0.6283038593587263,low,12000,all,budget,0.004782374709349661,26.7956398,82.1945757,-0.38313784690838787,1.0,0,0,1.0,0.40286942482560983,11,0,1,39
karnataka,badami,badami cave temples,cave,religious,-0.301046257992439,-0.27487767915128486,medium,92000,all,moderate,0.05321148569010572,15.9183722,75.6843849,-0.38313784690838787,1.0,1,1,1.0,0.4319268914140634,12,2,2,6
uttarakhand,badrinath,badrinath temple,temple,religious,-0.8235232346735313,-0.6283038593587263,low,139195,all,budget,0.0817816343493155,30.7446884,79.4911584,-0.38313784690838787,1.0,0,0,1.0,0.44906898060958933,13,0,1,49
madhya pradesh,bandhavgarh,bandhavgarh national park,national park,wildlife,1.2663846720508378,0.6479573469459234,medium,22500,morning,moderate,0.011138695525573894,23.7180358,81.0262902,-0.38313784690838787,1.0,1,1,1.0,0.4066832173153443,14,2,2,32
karnataka,bangalore,cubbon park,park,nature,-0.8235232346735313,-0.6283038593587263,low,580800,morning,budget,0.3491133537825252,12.9808954,77.597562,-0.22723374990731215,0.9789121596567582,0,0,1.0,0.6041960521837046,15,0,1,35
karnataka,bangalore,iskcon temple bangalore,temple,religious,-0.8235232346735313,-0.6283038593587263,low,524395,evening,budget,0.31496780372165595,13.0118968,77.551535,-0.08019198090958363,0.9590230521345192,0,0,1.0,0.5787364452666234,15,0,1,49
karnataka,bangalore,bangalore palace,palace,historical,0.2214307186886533,0.9424791637854579,high,378000,morning,luxury,0.22634555744630863,12.9985954,77.5920086,-0.2942457469681748,0.9879763107745541,2,2,1.0,0.5328014121614237,15,1,0,34
karnataka,bangalore,vidhana soudha,government building,architectural,-1.3460002113546234,-0.922825676198261,low,368000,morning,budget,0.22029191857371413,12.9797454,77.5906167,-0.25685705005984005,0.982919055152597,0,0,1.0,0.5279049149323778,15,0,1,15
kerala,bekal,bekal fort,fort,historical,-0.301046257992439,-0.2945124669405872,medium,99000,all,moderate,0.057449032900921876,12.3922238,75.0327651,-0.38313784690838787,1.0,1,1,1.0,0.4344694197405531,16,2,2,13
karnataka,bengaluru,orion mall,mall,shopping,0.2214307186886533,-0.039260225679657236,medium,810000,all,moderate,0.4878627567423914,13.0109788,77.5552238,0.5929646225819547,0.8679708010809077,1,1,1.0,0.6597103543156618,17,2,2,23
karnataka,bengaluru,wonderla amusement park,amusement park,entertainment,2.311338625413023,2.886323154926386,high,427500,all,luxury,0.25631106986565144,12.8344839,77.4000054,0.5931107376178569,0.867951037324803,2,2,1.0,0.5207744012505916,17,1,0,0
odisha,bhubaneswar,lingaraj temple,temple,religious,-0.8235232346735313,-0.6283038593587263,low,161000,all,budget,0.09498159391100783,20.238369,85.833719,-0.38313784690838787,1.0,0,0,1.0,0.45698895634660475,18,0,1,49
gujarat,bhuj,white desert,site,nature,0.7439076953697455,0.25526159115987734,medium,55199,evening,moderate,0.030933489275070673,23.8304196,69.5200898,-0.38313784690838787,1.0,1,1,1.0,0.4185600935650424,19,2,2,44
karnataka,bijapur,gol gumbaz,mausoleum,historical,-0.301046257992439,-0.2945124669405872,medium,112500,all,moderate,0.06562144537892446,16.8296264,75.7360096,-0.38313784690838787,1.0,1,1,1.0,0.4393728672273547,20,2,2,25
rajasthan,bikaner,junagarh fort,fort,historical,0.2214307186886533,0.05891371326685429,medium,144000,all,moderate,0.08469040782759717,28.0223479,73.318133,-0.38313784690838787,1.0,1,1,1.0,0.4508142446965583,21,2,2,13
bihar,bodh gaya,mahabodhi temple,temple,religious,-0.301046257992439,-0.3337820425191918,medium,94000,all,moderate,0.05442221346462462,24.6959303,84.9913903,-0.38313784690838787,1.0,1,1,1.0,0.43265332807877477,22,2,2,49
tamil nadu,chennai,marina beach,beach,recreational,-0.301046257992439,-0.3337820425191918,medium,39000,morning,moderate,0.02112719966535483,13.0532752,80.2833106,-0.38313784690838787,1.0,1,1,1.0,0.41267631979921293,23,2,2,2
tamil nadu,chidambaram,nataraja temple,temple,religious,-0.8235232346735313,-0.6283038593587263,low,131600,all,budget,0.07718389562557997,11.3993037,79.6936521,-0.38313784690838787,1.0,0,0,1.0,0.446310337375348,24,0,1,49
karnataka,chikmagalur,mullayanagiri,mountain peak,nature,1.2663846720508378,0.5497834079994118,medium,22500,all,moderate,0.011138695525573894,13.3909217,75.7214034,-0.38313784690838787,1.0,1,1,1.0,0.4066832173153443,25,2,2,30
rajasthan,chittorgarh,chittorgarh fort,fort,historical,0.2214307186886533,0.03927892547755198,medium,873999,all,moderate,0.526605440163109,24.8817143,74.6466948,-0.38313784690838787,1.0,1,1,1.0,0.7159632640978654,26,2,2,13
odisha,cuttack,barabati fort,fort,historical,-0.8235232346735313,-0.6283038593587263,low,58500,all,budget,0.03293179546691412,20.4852763,85.8650129,-0.38313784690838787,1.0,0,0,1.0,0.4197590772801485,27,0,1,13
west bengal,darjeeling,tiger hill,sunrise point,nature,-0.8235232346735313,-0.6283038593587263,low,11250,all,budget,0.004328351793905073,26.9949013,88.2853306,-0.38313784690838787,1.0,0,0,1.0,0.40259701107634305,28,0,1,47
uttarakhand,dehradun,robber's cave,cave,nature,-0.301046257992439,-0.28469507304593605,medium,4500,morning,moderate,0.0002421455549037803,30.3770123,78.0622066,-0.38313784690838787,1.0,1,1,1.0,0.4001452873329423,29,2,2,6
delhi,delhi,india gate,war memorial,historical,-1.3460002113546234,-0.922825676198261,low,1196000,evening,budget,0.7215332172245393,28.6129332,77.2294928,-0.27791947168944126,0.9857679923717646,0,0,1.0,0.8293619284276648,30,0,1,57
delhi,delhi,red fort,fort,historical,0.2214307186886533,0.02946153158290083,medium,675000,afternoon,moderate,0.4061386319623655,28.656081,77.2407959,0.0929662133104321,0.9356013946920559,1,1,1.0,0.6275835278504333,30,2,2,13
delhi,delhi,qutub minar,monument,historical,-0.8235232346735313,-0.5595821020961683,medium,616500,afternoon,moderate,0.3707248445576876,28.524413,77.1854501,0.32979795486868085,0.9035671502413933,1,1,1.0,0.5983266942949609,30,2,2,28
delhi,delhi,lotus temple,temple,religious,-0.8235232346735313,-0.6283038593587263,low,265500,evening,budget,0.15824212012962044,28.5533586,77.2586006,0.07053603886462448,0.938635336369554,0,0,1.0,0.4796041061701608,30,0,1,49
delhi,delhi,lodhi garden,park,botanical,-0.8235232346735313,-0.6283038593587263,low,216000,all,budget,0.1282766077102776,28.5962998,77.2215497,-0.321551577420319,0.9916697415700929,0,0,1.0,0.4748834000186898,30,0,1,35
delhi,delhi,akshardham temple,temple,religious,3.356292578775207,1.845679402093364,high,184000,afternoon,luxury,0.1089049633179752,28.6125167,77.2773184,-0.008762796733964755,0.9493614251425546,2,2,1.0,0.4526833342764238,30,1,0,49
delhi,delhi,humayun's tomb,tomb,historical,0.2214307186886533,0.01964413768824968,medium,180000,afternoon,moderate,0.10648350776893739,28.5932856,77.2506468,-0.2087365676081537,0.9764102008588325,1,1,1.0,0.45799265487607055,30,2,2,50
delhi,delhi,agrasen ki baoli,stepwell,historical,-0.8235232346735313,-0.6283038593587263,low,172200,afternoon,budget,0.10176166944831368,28.6260676,77.2250111,-0.16641065860022558,0.9706851299420906,0,0,1.0,0.45372828415451083,30,0,1,46
delhi,delhi,national zoological park,zoo,environmental,1.2663846720508378,0.7068617103138303,medium,168099,all,moderate,0.09927907214666266,28.6026948,77.247176,-0.24371827262701423,0.9811418828643863,1,1,1.0,0.4548529140040942,30,2,2,60
delhi,delhi,jantar mantar,observatory,scientific,0.2214307186886533,-0.009808043995703779,medium,130200,morning,moderate,0.07633638618341675,28.6271791,77.2166166,-0.14222337372866586,0.9674135186661891,1,1,1.0,0.43765521137659735,30,2,2,33
delhi,delhi,chandni chowk,market,market,1.2663846720508378,0.5497834079994118,medium,105000,afternoon,moderate,0.06108121622447858,28.6559834,77.2321937,0.08417600867690739,0.9367903719893935,1,1,1.0,0.4208463227320355,30,2,2,24
delhi,delhi,national science centre,science,scientific,3.356292578775207,1.8653141898826662,high,101200,all,luxury,0.058780833452892665,28.625457,77.1622651,0.14811065997649758,0.928142467637032,2,2,1.0,0.41730411698099357,30,1,0,42
delhi,delhi,garden of five senses,park,botanical,0.2214307186886533,0.02946153158290083,medium,94299,morning,moderate,0.0546032172669152,28.5137724,77.1983445,0.3778540922064784,0.8970669993718149,1,1,1.0,0.4070286802031028,30,2,2,35
delhi,delhi,sunder nursery,park,botanical,0.2214307186886533,-0.039260225679657236,medium,73600,afternoon,moderate,0.042072790164531824,28.5969098,77.2470188,-0.242996439311218,0.9810442465224893,1,1,1.0,0.42050473572934144,30,2,2,35
delhi,delhi,national gallery of modern art,museum,artistic,1.2663846720508378,0.5890529835780165,medium,36000,all,moderate,0.01931110800357648,28.6096334,77.2341764,-0.2951058690343977,0.988092652276523,1,1,1.0,0.40860982787127664,30,2,2,31
west bengal,digha,digha beach,beach,recreational,-0.301046257992439,-0.3337820425191918,medium,40500,morning,moderate,0.022035245496244006,21.6223631,87.5248765,-0.38313784690838787,1.0,1,1,1.0,0.4132211472977464,31,2,2,2
daman and diu,diu,diu fort,fort,historical,-0.301046257992439,-0.3337820425191918,medium,552000,afternoon,moderate,0.33167887382945305,20.4148865,72.8334609,7.009942452537553,1.0216383294903153e-11,1,1,1.0,0.3490073243002259,32,2,2,13
daman and diu,diu,naida caves,cave,nature,-0.8235232346735313,-0.6283038593587263,low,270000,afternoon,budget,0.16096625762228794,20.7109607,70.980783,7.002982655640326,0.0009413933963637877,0,0,1.0,0.24681510292246372,32,0,1,6
gujarat,dwarka,dwarkadhish temple,temple,religious,0.2214307186886533,-0.039260225679657236,medium,277300,evening,moderate,0.16538541399928194,22.2377737,68.9675115,-0.38313784690838787,1.0,1,1,1.0,0.4992312483995691,33,2,2,49
uttar pradesh,fatehpur sikri,buland darwaza,monument,historical,0.2214307186886533,0.03927892547755198,medium,30800,afternoon,moderate,0.016163215789827334,27.0943123,77.6627939,-0.38313784690838787,1.0,1,1,1.0,0.4096979294738964,34,2,2,28
gujarat,gandhinagar,akshardham,temple,religious,1.2663846720508378,0.5497834079994118,medium,82800,all,moderate,0.04764213792731877,23.2307543,72.6738324,-0.21838607242067684,0.9777154084883435,1,1,1.0,0.42301413487847717,35,2,2,49
gujarat,gandhinagar,dandi kutir,museum,historical,-0.301046257992439,-0.3337820425191918,medium,22500,all,moderate,0.011138695525573894,23.2328055,72.631196,-0.21838733486639206,0.977715579248793,1,1,1.0,0.4011121121275426,35,2,2,31
sikkim,gangtok,tsomgo lake,lake,nature,0.2214307186886533,-0.039260225679657236,medium,67500,morning,moderate,0.03838007045224918,27.3745308,88.7619799,-0.18179754641286247,0.9727663852767083,1,1,1.0,0.4162196385905266,36,2,2,21
sikkim,gangtok,nathula pass,hill,historical,0.2214307186886533,9.349898947373974e-06,medium,64500,afternoon,moderate,0.036563978790470825,27.3868289,88.8308961,0.2935170695376934,0.9084745614774563,1,1,1.0,0.3990570276436466,36,2,2,18
sikkim,gangtok,baba harbhajan singh temple,temple,religious,-0.8235232346735313,-0.6283038593587263,low,35250,all,budget,0.01885708508813189,27.3658756,88.8378893,0.2943946746240215,0.9083558551939083,0,0,1.0,0.3884032148513562,36,0,1,49
sikkim,gangtok,rumtek monastery,monastery,religious,-0.8235232346735313,-0.6086690715694241,medium,16099,morning,moderate,0.00726376128322615,27.2887582,88.56142,1.113332462592701,0.7975850053193727,1,1,1.0,0.3537545080997788,36,2,2,27
goa,goa,fort aguada,fort,historical,-0.301046257992439,-0.3337820425191918,medium,399000,morning,moderate,0.2390581990787571,15.4923866,73.7735976,0.3107678720353541,0.9061411900275645,1,1,1.0,0.5199702169541454,37,2,2,13
goa,goa,basilica of bom jesus,church,historical,-0.8235232346735313,-0.6283038593587263,low,265500,afternoon,budget,0.15824212012962044,15.5006961,73.9117039,0.1694445933318568,0.9252568053026542,0,0,1.0,0.4762594734034358,37,0,1,7
goa,goa,baga beach,beach,scenic,0.2214307186886533,-0.039260225679657236,medium,157500,evening,moderate,0.09286282030559974,15.5573721,73.75098,0.7589897143950952,0.8455139786081576,1,1,1.0,0.4170961868353993,37,2,2,2
goa,goa,dudhsagar falls,waterfall,nature,1.2663846720508378,1.5315227974645271,high,138000,afternoon,luxury,0.08105822450404046,15.3156176,74.3142493,3.5455284517512946,0.4686022416239721,2,2,1.0,0.3157854951084173,37,1,0,58
goa,goa,miramar beach,beach,scenic,-0.301046257992439,-0.3337820425191918,medium,126000,evening,moderate,0.07379385785692705,15.4766811,73.8066757,0.015963627362980824,0.946016889022942,1,1,1.0,0.4307805369698917,37,2,2,2
goa,goa,palolem beach,beach,scenic,0.2214307186886533,-0.039260225679657236,medium,124199,evening,moderate,0.07270359749597277,15.0093077,74.024229,3.682869989020298,0.45002520313598315,1,1,1.0,0.30612845928157945,37,2,2,2
goa,goa,calangute beach,beach,scenic,0.2214307186886533,-0.039260225679657236,medium,114400,evening,moderate,0.06677163676471742,15.5424885,73.7555617,0.6489486446717629,0.860398311696012,1,1,1.0,0.40516255998283346,37,2,2,2
goa,goa,chapora fort,fort,historical,-0.8235232346735313,-0.6283038593587263,low,79800,evening,budget,0.045826046265540425,15.6059531,73.7352845,1.1444276725054876,0.7933790169284717,0,0,1.0,0.3758403819914422,37,0,1,13
goa,goa,anjuna beach,beach,scenic,0.2214307186886533,-0.039260225679657236,medium,79200,evening,moderate,0.04546282793318475,15.5758504,73.7402545,0.9292868082592807,0.8224793182278005,1,1,1.0,0.38289752631686097,37,2,2,2
goa,goa,arambol beach,beach,scenic,0.2214307186886533,-0.039260225679657236,medium,46000,evening,moderate,0.025364746876170987,15.6786308,73.7051496,1.7805694775272884,0.7073334473892126,1,1,1.0,0.3420522099730057,37,2,2,2
goa,goa,colva beach,beach,scenic,0.2214307186886533,-0.039260225679657236,medium,43000,evening,moderate,0.023548655214392634,15.2857909,73.9105447,1.1880604167340914,0.7874771813659082,1,1,1.0,0.3609984884701126,37,2,2,2
goa,goa,se cathedral,church,historical,-0.8235232346735313,-0.6283038593587263,low,22500,afternoon,budget,0.011138695525573894,15.5037349,73.9121938,0.18698742822702602,0.9228839330782981,0,0,1.0,0.38740420058491887,37,0,1,7
goa,goa,aguada beach,beach,scenic,0.2214307186886533,-0.039260225679657236,medium,4500,evening,moderate,0.0002421455549037803,15.4988795,73.7672505,0.37813051102288125,0.8970296105155866,1,1,1.0,0.3744026899618389,37,2,2,2
karnataka,gokarna,om beach,beach,nature,0.2214307186886533,-0.039260225679657236,medium,40500,all,moderate,0.022035245496244006,14.5190647,74.3254238,-0.38313784690838787,1.0,1,1,1.0,0.4132211472977464,38,2,2,2
uttar pradesh,greater noida,the grand venice mall,mall,shopping,0.2214307186886533,-0.039260225679657236,medium,189000,all,moderate,0.11193178275427244,28.4526337,77.5262656,-0.38313784690838787,1.0,1,1,1.0,0.4671590696525635,39,2,2,23
andhra pradesh,guntur,uppalapadu bird sanctuary,bird sanctuary,wildlife,-0.8235232346735313,-0.6086690715694241,medium,308000,all,moderate,0.18397008533814707,16.3069011,80.5136209,-0.38313784690838787,1.0,1,1,1.0,0.5103820512028883,40,2,2,3
haryana,gurugram,ambience mall,mall,shopping,0.2214307186886533,-0.039260225679657236,medium,552000,afternoon,moderate,0.33167887382945305,28.5042583,77.0972049,-0.19941095875056467,0.9751488039201042,1,1,1.0,0.5927945252776978,41,2,2,23
haryana,gurugram,kingdom of dreams,entertainment,entertainment,1.2663846720508378,2.709610064822665,high,132000,afternoon,luxury,0.07742604118048375,28.4681299,77.0691264,-0.19940095783943418,0.9751474511806877,2,2,1.0,0.4402424875034622,41,1,0,11
assam,guwahati,kamakhya temple,temple,religious,0.2214307186886533,-0.039260225679657236,medium,96599,all,moderate,0.05599555420761194,26.165107,91.7059298,-0.18555675993812887,0.9732748625788566,1,1,1.0,0.4269160481692813,42,2,2,49
assam,guwahati,umananda island,island,nature,-0.8235232346735313,-0.6283038593587263,low,4100,morning,budget,0.0,26.1964855,91.7449949,-0.18557152763294057,0.9732768600811443,0,0,1.0,0.3933192150202861,42,0,1,20
madhya pradesh,gwalior,gwalior fort,fort,historical,0.7439076953697455,0.4025224995796446,medium,180000,morning,moderate,0.10648350776893739,26.2235995,78.1665381,-0.38313784690838787,1.0,1,1,1.0,0.4638901046613624,43,2,2,13
assam,hajo,hayagriva madhava temple,temple,religious,-0.8235232346735313,-0.6283038593587263,low,405000,all,budget,0.2426903824023138,26.2429185,91.526535,-0.38313784690838787,1.0,0,0,1.0,0.5456142294413883,44,0,1,49
uttarakhand,haridwar,har ki pauri,ghat,religious,-0.8235232346735313,-0.6283038593587263,low,11250,all,budget,0.004328351793905073,29.9566381,78.1708619,-0.38313784690838787,1.0,0,0,1.0,0.40259701107634305,45,0,1,14
telangana,hyderabad,charminar,landmark,historical,-0.8235232346735313,-0.5792168898854706,medium,945000,morning,moderate,0.5695868815224172,17.3616024,78.4746421,-0.24500008073320925,0.9813152623022207,1,1,1.0,0.7370809444890055,46,2,2,22
telangana,hyderabad,inorbit mall cyberabad,mall,shopping,0.2214307186886533,-0.039260225679657236,medium,540000,all,moderate,0.32441450718233966,17.4345546,78.3866982,0.4331905173969062,0.8895821049910506,1,1,1.0,0.5670442305571665,46,2,2,23
telangana,hyderabad,golconda fort,fort,historical,0.2214307186886533,0.01964413768824968,medium,528000,morning,moderate,0.3171501405352262,17.3833665,78.4010991,0.16249196767656404,0.9261972286950179,1,1,1.0,0.5718393914948902,46,2,2,13
telangana,hyderabad,nehru zoological park,zoo,wildlife,1.2663846720508378,0.6479573469459234,medium,361200,morning,moderate,0.21617544414034986,17.3514419,78.4455598,-0.09802149403509457,0.9614347009200281,1,1,1.0,0.520063941714217,46,2,2,60
telangana,hyderabad,lumbini park,park,recreational,-0.8235232346735313,-0.5890342837801218,medium,299300,evening,moderate,0.17870341951898985,17.4097139,78.4728234,-0.10734799837496682,0.9626962189831386,1,1,1.0,0.4978961064571785,46,2,2,35
telangana,hyderabad,salar jung museum,museum,historical,0.2214307186886533,9.349898947373974e-06,medium,294800,all,moderate,0.17597928202632232,17.371392,78.4801498,-0.28072112348411193,0.9861469483253272,1,1,1.0,0.5021243062971252,46,2,2,31
telangana,hyderabad,hussain sagar lake,lake,scenic,-0.8235232346735313,-0.6283038593587263,low,215000,evening,budget,0.12767124382301817,17.4229113,78.475421,0.005233058221666502,0.9474683231622424,0,0,1.0,0.46346982708437146,46,0,1,21
telangana,hyderabad,ramoji film city,film studio,entertainment,2.311338625413023,3.396827637448246,high,198000,all,luxury,0.1173800577396075,17.2524153,78.6798949,1.6067740735216094,0.7308412948580043,2,2,1.0,0.4031383583582656,46,1,0,12
telangana,hyderabad,chowmahalla palace,palace,historical,-0.301046257992439,-0.17670374020477336,medium,198000,morning,moderate,0.1173800577396075,17.3575817,78.4717055,-0.2176664579298457,0.9776180722683003,1,1,1.0,0.46483255271083956,46,2,2,34
telangana,hyderabad,birla mandir,temple,religious,-0.8235232346735313,-0.6283038593587263,low,192700,all,budget,0.11417162913713241,17.4056977,78.4692594,-0.14289592666937717,0.9675044892648386,0,0,1.0,0.4603790997984891,46,0,1,49
telangana,hyderabad,qutb shahi tombs,tombs,historical,-0.8235232346735313,-0.5792168898854706,medium,88000,morning,moderate,0.05079003014106792,17.3973713,78.4001622,0.1931660330479953,0.9220482049960035,1,1,1.0,0.41098606933364157,46,2,2,51
madhya pradesh,indore,rajwada palace,palace,historical,-0.8235232346735313,-0.6086690715694241,medium,277200,afternoon,moderate,0.165324877610556,22.7184344,75.8547755,-0.38313784690838787,1.0,1,1,1.0,0.4991949265663336,47,2,2,34
madhya pradesh,jabalpur,dhuandhar falls,waterfall,nature,-0.8235232346735313,-0.6283038593587263,low,4500,morning,budget,0.0002421455549037803,23.125398,79.8134415,-0.38313784690838787,1.0,0,0,1.0,0.4001452873329423,48,0,1,58
rajasthan,jaipur,amber fort,fort,historical,0.2214307186886533,0.1570876522133658,medium,690000,all,moderate,0.41521909027125725,26.9863104,75.8506607,-0.023222582609251138,0.9513172791694914,1,1,1.0,0.6369607739551272,49,2,2,13
rajasthan,jaipur,hawa mahal,palace,architectural,-0.8235232346735313,-0.5301299204122149,medium,572000,morning,moderate,0.3437861515746421,26.923932,75.8268652,-0.18873719447390866,0.9737050532986823,1,1,1.0,0.5996979542694558,49,2,2,34
rajasthan,jaipur,albert hall museum,museum,historical,0.2214307186886533,0.35343553010638884,medium,283500,all,moderate,0.16913867010029054,26.9117053,75.8194973,-0.07436319992499657,0.9582346417901917,1,1,1.0,0.4910418625077222,49,2,2,31
rajasthan,jaipur,city palace,palace,historical,0.2214307186886533,0.35343553010638884,medium,224400,morning,moderate,0.133361664363257,26.9262096,75.8238346,-0.1997772170917785,0.9751983446157784,1,1,1.0,0.4738165847718988,49,2,2,34
rajasthan,jaipur,jaigarh fort,fort,historical,-0.301046257992439,-0.2650602852566337,medium,135000,all,moderate,0.0792421328422621,26.9837152,75.8452471,-0.056863167657751096,0.955867559118524,1,1,1.0,0.4365121694849883,49,2,2,13
rajasthan,jaisalmer,jaisalmer fort,fort,historical,0.7439076953697455,0.35343553010638884,medium,246400,all,moderate,0.1466796698829649,26.9127655,70.9124933,-0.38313784690838787,1.0,1,1,1.0,0.488007801929779,50,2,2,13
west bengal,jalpaiguri,gorumara national park,national park,wildlife,1.2663846720508378,0.7461312858924349,medium,30800,all,moderate,0.016163215789827334,26.7474882,88.8145859,-0.38313784690838787,1.0,1,1,1.0,0.4096979294738964,51,2,2,32
jammu and kashmir,jammu,vaishno devi,temple,religious,3.356292578775207,1.7278706753575501,high,258500,all,luxury,0.15400457291880426,33.027399,74.945375,-0.38313784690838787,1.0,2,2,1.0,0.49240274375128257,52,1,0,49
uttar pradesh,jhansi,jhansi fort,fort,historical,-0.301046257992439,-0.30432986083523833,medium,110000,all,moderate,0.06410803566077583,25.4573176,78.5754799,-0.38313784690838787,1.0,1,1,1.0,0.4384648213964655,53,2,2,13
rajasthan,jodhpur,mehrangarh fort,fort,historical,0.2214307186886533,0.1570876522133658,medium,294400,all,moderate,0.17573713647141856,26.2995407,73.0195132,-0.38313784690838787,1.0,1,1,1.0,0.5054422818828511,54,2,2,13
uttarakhand,joshimath,valley of flowers,national park,nature,3.356292578775207,2.0223924921970844,high,16450,morning,luxury,0.007476244007654217,30.7056798,79.5958552,-0.38313784690838787,1.0,2,2,1.0,0.40448574640459256,55,1,0,32
gujarat,junagadh,gir national park,national park,wildlife,1.2663846720508378,7.421959134255218,high,36000,morning,luxury,0.01931110800357648,21.1267789,70.7747952,-0.38313784690838787,1.0,2,2,1.0,0.4115866648021459,56,1,0,32
andhra pradesh,kadapa,gandikota fort,fort,historical,-0.301046257992439,-0.3337820425191918,medium,6750,morning,moderate,0.0016042143012375445,14.8133184,78.2874575,-0.38313784690838787,1.0,1,1,1.0,0.40096252858074255,57,2,2,13
