state,city,attraction_name,category,description,time_hours,estimated_visit_cost_inr,cost_category,popularity_score,best_time_to_visit,budget_level,poi_summary
uttarakhand,auli,auli ski resort,ski resort,adventure,3,900,medium,4500,morning,moderate,Auli Ski Resort — Adventure. Category: ski resort. Estimated visit time: 3.0 hrs. Cost: ₹900. Best time to visit: morning. Average rating: 4.5
maharastra,aurangabad,ajanta caves,cave,historical,3,930,medium,96599,afternoon,moderate,Ajanta Caves — Historical. Category: cave. Estimated visit time: 3.0 hrs. Cost: ₹930. Best time to visit: afternoon. Average rating: 4.6
puducherry,auroville,auroville,township,cultural,2,600,medium,14349,all,moderate,Auroville — Cultural. Category: township. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.1
uttar pradesh,ayodhya,ram janmabhoomi,religious site,religious,1,300,low,12000,all,budget,Ram Janmabhoomi — Religious. Category: religious site. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.8
karnataka,badami,badami cave temples,cave,religious,1.5,480,medium,92000,all,moderate,Badami Cave Temples — Religious. Category: cave. Estimated visit time: 1.5 hrs. Cost: ₹480. Best time to visit: all. Average rating: 4.6
uttarakhand,badrinath,badrinath temple,temple,religious,1,300,low,139195,all,budget,Badrinath Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.8
odisha,balasore,chandipur beach,beach,recreational,1.5,450,medium,5880,morning,moderate,Chandipur Beach — Recreational. Category: beach. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: morning. Average rating: 4.2
madhya pradesh,bandhavgarh,bandhavgarh national park,national park,wildlife,3,950,medium,22500,morning,moderate,Bandhavgarh National Park — Wildlife. Category: national park. Estimated visit time: 3.0 hrs. Cost: ₹950. Best time to visit: morning. Average rating: 4.5
karnataka,bandipur,bandipur national park,national park,wildlife,3,1200,high,66000,morning,luxury,Bandipur National Park — Wildlife. Category: national park. Estimated visit time: 3.0 hrs. Cost: ₹1200. Best time to visit: morning. Average rating: 4.4
karnataka,bangalore,lalbagh botanical garden,botanical garden,nature,1.5,470,medium,660000,evening,moderate,Lalbagh Botanical Garden — Nature. Category: botanical garden. Estimated visit time: 1.5 hrs. Cost: ₹470. Best time to visit: evening. Average rating: 4.4
karnataka,bangalore,cubbon park,park,nature,1,300,low,580800,morning,budget,Cubbon Park — Nature. Category: park. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.4
karnataka,bangalore,iskcon temple bangalore,temple,religious,1,300,low,524395,evening,budget,Iskcon Temple Bangalore — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: evening. Average rating: 4.6
karnataka,bangalore,bangalore palace,palace,historical,2,1100,high,378000,morning,luxury,Bangalore Palace — Historical. Category: palace. Estimated visit time: 2.0 hrs. Cost: ₹1100. Best time to visit: morning. Average rating: 4.2
karnataka,bangalore,vidhana soudha,government building,architectural,0.5,150,low,368000,morning,budget,Vidhana Soudha — Architectural. Category: government building. Estimated visit time: 0.5 hrs. Cost: ₹150. Best time to visit: morning. Average rating: 4.6
andaman and nicobar islands,baratang island,limestone caves,natural feature,nature,1.5,700,medium,6600,morning,moderate,Limestone Caves — Nature. Category: natural feature. Estimated visit time: 1.5 hrs. Cost: ₹700. Best time to visit: morning. Average rating: 4.4
himachal pradesh,barot,barot valley,valley,nature,2,600,medium,564000,morning,moderate,Barot Valley — Nature. Category: valley. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: morning. Average rating: 4.7
chhattisgarh,bastar,chitrakote falls,waterfall,nature,1.5,450,medium,87400,morning,moderate,Chitrakote Falls — Nature. Category: waterfall. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: morning. Average rating: 4.6
kerala,bekal,bekal fort,fort,historical,1.5,470,medium,99000,all,moderate,Bekal Fort — Historical. Category: fort. Estimated visit time: 1.5 hrs. Cost: ₹470. Best time to visit: all. Average rating: 4.5
karnataka,bengaluru,orion mall,mall,shopping,2,600,medium,810000,all,moderate,Orion Mall — Shopping. Category: mall. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.5
karnataka,bengaluru,wonderla amusement park,amusement park,entertainment,4,2090,high,427500,all,luxury,Wonderla Amusement Park — Entertainment. Category: amusement park. Estimated visit time: 4.0 hrs. Cost: ₹2090. Best time to visit: all. Average rating: 4.5
odisha,berhampur,tara tarini temple,temple,religious,1,300,low,4600,all,budget,Tara Tarini Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.6
madhya pradesh,bhimbetka,bhimbetka rock shelters,prehistoric site,archaeological,2,625,medium,32199,afternoon,moderate,Bhimbetka Rock Shelters — Archaeological. Category: prehistoric site. Estimated visit time: 2.0 hrs. Cost: ₹625. Best time to visit: afternoon. Average rating: 4.6
madhya pradesh,bhopal,madhya pradesh tribal museum,museum,cultural,2,610,medium,70500,all,moderate,Madhya Pradesh Tribal Museum — Cultural. Category: museum. Estimated visit time: 2.0 hrs. Cost: ₹610. Best time to visit: all. Average rating: 4.7
madhya pradesh,bhopal,sanchi stupa,monument,historical,1.5,480,medium,4700,afternoon,moderate,Sanchi Stupa — Historical. Category: monument. Estimated visit time: 1.5 hrs. Cost: ₹480. Best time to visit: afternoon. Average rating: 4.7
odisha,bhubaneswar,nandankanan zoological park,zoo,wildlife,3,950,medium,356400,afternoon,moderate,Nandankanan Zoological Park — Wildlife. Category: zoo. Estimated visit time: 3.0 hrs. Cost: ₹950. Best time to visit: afternoon. Average rating: 4.4
odisha,bhubaneswar,lingaraj temple,temple,religious,1,300,low,161000,all,budget,Lingaraj Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.6
gujarat,bhuj,white desert,site,nature,2.5,750,medium,55199,evening,moderate,White Desert — Nature. Category: site. Estimated visit time: 2.5 hrs. Cost: ₹750. Best time to visit: evening. Average rating: 4.6
karnataka,bijapur,gol gumbaz,mausoleum,historical,1.5,470,medium,112500,all,moderate,Gol Gumbaz — Historical. Category: mausoleum. Estimated visit time: 1.5 hrs. Cost: ₹470. Best time to visit: all. Average rating: 4.5
rajasthan,bikaner,junagarh fort,fort,historical,2,650,medium,144000,all,moderate,Junagarh Fort — Historical. Category: fort. Estimated visit time: 2.0 hrs. Cost: ₹650. Best time to visit: all. Average rating: 4.5
himachal pradesh,bir billing,paragliding site,adventure sport,adventure,2,3100,high,4800,all,luxury,Paragliding Site — Adventure. Category: adventure sport. Estimated visit time: 2.0 hrs. Cost: ₹3100. Best time to visit: all. Average rating: 4.8
bihar,bodh gaya,mahabodhi temple,temple,religious,1.5,450,medium,94000,all,moderate,Mahabodhi Temple — Religious. Category: temple. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: all. Average rating: 4.7
west bengal,bolpur,kankalitala temple,temple,religious,0.5,150,low,21150,all,budget,Kankalitala Temple — Religious. Category: temple. Estimated visit time: 0.5 hrs. Cost: ₹150. Best time to visit: all. Average rating: 4.7
himachal pradesh,chamba,chamera lake,lake,recreational,2,600,medium,4400,morning,moderate,Chamera Lake — Recreational. Category: lake. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: morning. Average rating: 4.4
punjab,chandigarh,rock garden,sculpture garden,artistic,2,630,medium,225000,all,moderate,Rock Garden — Artistic. Category: sculpture garden. Estimated visit time: 2.0 hrs. Cost: ₹630. Best time to visit: all. Average rating: 4.5
tamil nadu,chennai,marina beach,beach,recreational,1.5,450,medium,39000,morning,moderate,Marina Beach — Recreational. Category: beach. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: morning. Average rating: 3.9
meghalaya,cherrapunji,living root bridge,natural feature,nature,2,600,medium,27599,morning,moderate,Living Root Bridge — Nature. Category: natural feature. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: morning. Average rating: 4.6
tamil nadu,chidambaram,nataraja temple,temple,religious,1,300,low,131600,all,budget,Nataraja Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.7
karnataka,chikmagalur,mullayanagiri,mountain peak,nature,3,900,medium,22500,all,moderate,Mullayanagiri — Nature. Category: mountain peak. Estimated visit time: 3.0 hrs. Cost: ₹900. Best time to visit: all. Average rating: 4.5
odisha,chilika,chilika lake,lake,nature,2,600,medium,39000,morning,moderate,Chilika Lake — Nature. Category: lake. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: morning. Average rating: 3.9
madhya pradesh,chitrakoot,chitrakoot falls,waterfall,nature,1.5,450,medium,44000,morning,moderate,Chitrakoot Falls — Nature. Category: waterfall. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: morning. Average rating: 4.4
rajasthan,chittorgarh,chittorgarh fort,fort,historical,2,640,medium,873999,all,moderate,Chittorgarh Fort — Historical. Category: fort. Estimated visit time: 2.0 hrs. Cost: ₹640. Best time to visit: all. Average rating: 4.6
uttarakhand,chopta,tungnath temple,temple,religious,2,600,medium,43200,all,moderate,Tungnath Temple — Religious. Category: temple. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.8
tamil nadu,coimbatore,marudamalai temple,temple,religious,1,300,low,141000,all,budget,Marudamalai Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.7
west bengal,cooch behar,cooch behar palace,palace,historical,1,320,medium,40500,all,moderate,Cooch Behar Palace — Historical. Category: palace. Estimated visit time: 1.0 hrs. Cost: ₹320. Best time to visit: all. Average rating: 4.5
karnataka,coorg,abbey falls,waterfall,nature,1,300,low,12299,morning,budget,Abbey Falls — Nature. Category: waterfall. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.1
odisha,cuttack,barabati fort,fort,historical,1,300,low,58500,all,budget,Barabati Fort — Historical. Category: fort. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.5
himachal pradesh,dalhousie,dalai lama temple,temple,religious,1.5,450,medium,70500,all,moderate,Dalai Lama Temple — Religious. Category: temple. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: all. Average rating: 4.7
himachal pradesh,dalhousie,khajjiar lake,lake,nature,1.5,450,medium,45000,morning,moderate,Khajjiar Lake — Nature. Category: lake. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: morning. Average rating: 4.5
west bengal,darjeeling,tiger hill,sunrise point,nature,1,300,low,11250,all,budget,Tiger Hill — Nature. Category: sunrise point. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.5
uttarakhand,dehradun,robber's cave,cave,nature,1.5,475,medium,4500,morning,moderate,Robber'S Cave — Nature. Category: cave. Estimated visit time: 1.5 hrs. Cost: ₹475. Best time to visit: morning. Average rating: 4.5
delhi,delhi,india gate,war memorial,historical,0.5,150,low,1196000,evening,budget,India Gate — Historical. Category: war memorial. Estimated visit time: 0.5 hrs. Cost: ₹150. Best time to visit: evening. Average rating: 4.6
delhi,delhi,red fort,fort,historical,2,635,medium,675000,afternoon,moderate,Red Fort — Historical. Category: fort. Estimated visit time: 2.0 hrs. Cost: ₹635. Best time to visit: afternoon. Average rating: 4.5
delhi,delhi,qutub minar,monument,historical,1,335,medium,616500,afternoon,moderate,Qutub Minar — Historical. Category: monument. Estimated visit time: 1.0 hrs. Cost: ₹335. Best time to visit: afternoon. Average rating: 4.5
delhi,delhi,lotus temple,temple,religious,1,300,low,265500,evening,budget,Lotus Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: evening. Average rating: 4.5
delhi,delhi,lodhi garden,park,botanical,1,300,low,216000,all,budget,Lodhi Garden — Botanical. Category: park. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.5
delhi,delhi,akshardham temple,temple,religious,5,1560,high,184000,afternoon,luxury,Akshardham Temple — Religious. Category: temple. Estimated visit time: 5.0 hrs. Cost: ₹1560. Best time to visit: afternoon. Average rating: 4.6
delhi,delhi,humayun's tomb,tomb,historical,2,630,medium,180000,afternoon,moderate,Humayun'S Tomb — Historical. Category: tomb. Estimated visit time: 2.0 hrs. Cost: ₹630. Best time to visit: afternoon. Average rating: 4.5
delhi,delhi,agrasen ki baoli,stepwell,historical,1,300,low,172200,afternoon,budget,Agrasen Ki Baoli — Historical. Category: stepwell. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: afternoon. Average rating: 4.2
delhi,delhi,national zoological park,zoo,environmental,3,980,medium,168099,all,moderate,National Zoological Park — Environmental. Category: zoo. Estimated visit time: 3.0 hrs. Cost: ₹980. Best time to visit: all. Average rating: 4.1
delhi,delhi,jantar mantar,observatory,scientific,2,615,medium,130200,morning,moderate,Jantar Mantar — Scientific. Category: observatory. Estimated visit time: 2.0 hrs. Cost: ₹615. Best time to visit: morning. Average rating: 4.2
delhi,delhi,waste to wonder park,theme park,environmental,2,650,medium,110699,evening,moderate,Waste To Wonder Park — Environmental. Category: theme park. Estimated visit time: 2.0 hrs. Cost: ₹650. Best time to visit: evening. Average rating: 4.1
delhi,delhi,chandni chowk,market,market,3,900,medium,105000,afternoon,moderate,Chandni Chowk — Market. Category: market. Estimated visit time: 3.0 hrs. Cost: ₹900. Best time to visit: afternoon. Average rating: 4.2
delhi,delhi,national science centre,science,scientific,5,1570,high,101200,all,luxury,National Science Centre — Scientific. Category: science. Estimated visit time: 5.0 hrs. Cost: ₹1570. Best time to visit: all. Average rating: 4.4
delhi,delhi,garden of five senses,park,botanical,2,635,medium,94299,morning,moderate,Garden Of Five Senses — Botanical. Category: park. Estimated visit time: 2.0 hrs. Cost: ₹635. Best time to visit: morning. Average rating: 4.1
delhi,delhi,sunder nursery,park,botanical,2,600,medium,73600,afternoon,moderate,Sunder Nursery — Botanical. Category: park. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: afternoon. Average rating: 4.6
delhi,delhi,national gallery of modern art,museum,artistic,3,920,medium,36000,all,moderate,National Gallery Of Modern Art — Artistic. Category: museum. Estimated visit time: 3.0 hrs. Cost: ₹920. Best time to visit: all. Average rating: 4.5
jharkhand,deoghar,baba baidyanath temple,temple,religious,1,300,low,846000,all,budget,Baba Baidyanath Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.7
west bengal,digha,digha beach,beach,recreational,1.5,450,medium,40500,morning,moderate,Digha Beach — Recreational. Category: beach. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: morning. Average rating: 4.5
ladakh,diskit,diskit monastery,monastery,religious,1,320,medium,7050,morning,moderate,Diskit Monastery — Religious. Category: monastery. Estimated visit time: 1.0 hrs. Cost: ₹320. Best time to visit: morning. Average rating: 4.7
daman and diu,diu,diu fort,fort,historical,1.5,450,medium,552000,afternoon,moderate,Diu Fort — Historical. Category: fort. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: afternoon. Average rating: 4.6
daman and diu,diu,naida caves,cave,nature,1,300,low,270000,afternoon,budget,Naida Caves — Nature. Category: cave. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: afternoon. Average rating: 4.5
ladakh,dras,dras war memorial,war memorial,historical,1,300,low,5760,all,budget,Dras War Memorial — Historical. Category: war memorial. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.8
tripura,dumboor,dumboor lake,lake,nature,1,300,low,4500,morning,budget,Dumboor Lake — Nature. Category: lake. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: morning. Average rating: 4.5
gujarat,dwarka,dwarkadhish temple,temple,religious,2,600,medium,277300,evening,moderate,Dwarkadhish Temple — Religious. Category: temple. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: evening. Average rating: 4.7
nagaland,dzãƒâ¼kou valley,dzãƒâ¼kou valley,valley,trekking,3,900,medium,4700,afternoon,moderate,Dzãƒâ¼Kou Valley — Trekking. Category: valley. Estimated visit time: 3.0 hrs. Cost: ₹900. Best time to visit: afternoon. Average rating: 4.7
uttar pradesh,fatehpur sikri,buland darwaza,monument,historical,2,640,medium,30800,afternoon,moderate,Buland Darwaza — Historical. Category: monument. Estimated visit time: 2.0 hrs. Cost: ₹640. Best time to visit: afternoon. Average rating: 4.4
gujarat,gandhinagar,akshardham,temple,religious,3,900,medium,82800,all,moderate,Akshardham — Religious. Category: temple. Estimated visit time: 3.0 hrs. Cost: ₹900. Best time to visit: all. Average rating: 4.6
gujarat,gandhinagar,dandi kutir,museum,historical,1.5,450,medium,22500,all,moderate,Dandi Kutir — Historical. Category: museum. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: all. Average rating: 4.5
sikkim,gangtok,tsomgo lake,lake,nature,2,600,medium,67500,morning,moderate,Tsomgo Lake — Nature. Category: lake. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: morning. Average rating: 4.5
sikkim,gangtok,nathula pass,hill,historical,2,620,medium,64500,afternoon,moderate,Nathula Pass — Historical. Category: hill. Estimated visit time: 2.0 hrs. Cost: ₹620. Best time to visit: afternoon. Average rating: 4.3
sikkim,gangtok,baba harbhajan singh temple,temple,religious,1,300,low,35250,all,budget,Baba Harbhajan Singh Temple — Religious. Category: temple. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: all. Average rating: 4.7
sikkim,gangtok,rumtek monastery,monastery,religious,1,310,medium,16099,morning,moderate,Rumtek Monastery — Religious. Category: monastery. Estimated visit time: 1.0 hrs. Cost: ₹310. Best time to visit: morning. Average rating: 4.6
goa,goa,fort aguada,fort,historical,1.5,450,medium,399000,morning,moderate,Fort Aguada — Historical. Category: fort. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: morning. Average rating: 4.2
goa,goa,basilica of bom jesus,church,historical,1,300,low,265500,afternoon,budget,Basilica Of Bom Jesus — Historical. Category: church. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: afternoon. Average rating: 4.5
goa,goa,baga beach,beach,scenic,2,600,medium,157500,evening,moderate,Baga Beach — Scenic. Category: beach. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: evening. Average rating: 4.5
goa,goa,dudhsagar falls,waterfall,nature,3,1400,high,138000,afternoon,luxury,Dudhsagar Falls — Nature. Category: waterfall. Estimated visit time: 3.0 hrs. Cost: ₹1400. Best time to visit: afternoon. Average rating: 4.6
goa,goa,miramar beach,beach,scenic,1.5,450,medium,126000,evening,moderate,Miramar Beach — Scenic. Category: beach. Estimated visit time: 1.5 hrs. Cost: ₹450. Best time to visit: evening. Average rating: 4.2
goa,goa,palolem beach,beach,scenic,2,600,medium,124199,evening,moderate,Palolem Beach — Scenic. Category: beach. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: evening. Average rating: 4.6
goa,goa,calangute beach,beach,scenic,2,600,medium,114400,evening,moderate,Calangute Beach — Scenic. Category: beach. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: evening. Average rating: 4.4
goa,goa,chapora fort,fort,historical,1,300,low,79800,evening,budget,Chapora Fort — Historical. Category: fort. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: evening. Average rating: 4.2
goa,goa,anjuna beach,beach,scenic,2,600,medium,79200,evening,moderate,Anjuna Beach — Scenic. Category: beach. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: evening. Average rating: 4.4
goa,goa,arambol beach,beach,scenic,2,600,medium,46000,evening,moderate,Arambol Beach — Scenic. Category: beach. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: evening. Average rating: 4.6
goa,goa,colva beach,beach,scenic,2,600,medium,43000,evening,moderate,Colva Beach — Scenic. Category: beach. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: evening. Average rating: 4.3
goa,goa,se cathedral,church,historical,1,300,low,22500,afternoon,budget,Se Cathedral — Historical. Category: church. Estimated visit time: 1.0 hrs. Cost: ₹300. Best time to visit: afternoon. Average rating: 4.5
goa,goa,dr. salim ali bird santuary,bird sanctuary,wildlife,2,610,medium,11700,afternoon,moderate,Dr. Salim Ali Bird Santuary — Wildlife. Category: bird sanctuary. Estimated visit time: 2.0 hrs. Cost: ₹610. Best time to visit: afternoon. Average rating: 3.9
goa,goa,aguada beach,beach,scenic,2,600,medium,4500,evening,moderate,Aguada Beach — Scenic. Category: beach. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: evening. Average rating: 4.5
karnataka,gokarna,om beach,beach,nature,2,600,medium,40500,all,moderate,Om Beach — Nature. Category: beach. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.5
uttar pradesh,greater noida,buddh international circuit,race track,sports,2,2100,high,3403999,all,luxury,Buddh International Circuit — Sports. Category: race track. Estimated visit time: 2.0 hrs. Cost: ₹2100. Best time to visit: all. Average rating: 4.6
uttar pradesh,greater noida,the grand venice mall,mall,shopping,2,600,medium,189000,all,moderate,The Grand Venice Mall — Shopping. Category: mall. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.2
andhra pradesh,guntur,uppalapadu bird sanctuary,bird sanctuary,wildlife,1,310,medium,308000,all,moderate,Uppalapadu Bird Sanctuary — Wildlife. Category: bird sanctuary. Estimated visit time: 1.0 hrs. Cost: ₹310. Best time to visit: all. Average rating: 4.4
haryana,gurugram,ambience mall,mall,shopping,2,600,medium,552000,afternoon,moderate,Ambience Mall — Shopping. Category: mall. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: afternoon. Average rating: 4.6
haryana,gurugram,dlf cyberhub,commercial complex,entertainment,2,600,medium,333700,afternoon,moderate,Dlf Cyberhub — Entertainment. Category: commercial complex. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: afternoon. Average rating: 4.7
haryana,gurugram,kingdom of dreams,entertainment,entertainment,3,2000,high,132000,afternoon,luxury,Kingdom Of Dreams — Entertainment. Category: entertainment. Estimated visit time: 3.0 hrs. Cost: ₹2000. Best time to visit: afternoon. Average rating: 4.4
assam,guwahati,kamakhya temple,temple,religious,2,600,medium,96599,all,moderate,Kamakhya Temple — Religious. Category: temple. Estimated visit time: 2.0 hrs. Cost: ₹600. Best time to visit: all. Average rating: 4.6
assam,guwahati,pobitora wildlife sanctuary,wildlife sanctuary,wildlife,2,1100,high,16280,all,luxury,Pobitora Wildlife Sanctuary — Wildlife. Category: wildlife sanctuary. Estimated visit time: 2.0 hrs. Cost: ₹1100. Best time to visit: all. Average rating: 4.4
