state,city,attraction_name,category,description,time_hours,estimated_visit_cost_inr,cost_category,popularity_score,best_time_to_visit,budget_level,popularity_norm
sikkim,gangtok,nathula pass,hill,historical,2.0,620,medium,64500,afternoon,moderate,0.017765233614292653
sikkim,gangtok,baba harbhajan singh temple,temple,religious,1.0,300,low,35250,all,budget,0.009162036872271791
sikkim,gangtok,rumtek monastery,monastery,religious,1.0,310,medium,16099,morning,moderate,0.003529222485726781
goa,goa,fort aguada,fort,historical,1.5,450,medium,399000,morning,moderate,0.11615050917689022
goa,goa,basilica of bom jesus,church,historical,1.0,300,low,265500,afternoon,budget,0.07688463686715398
goa,goa,baga beach,beach,scenic,2.0,600,medium,157500,evening,moderate,0.04511898735815386
goa,goa,dudhsagar falls,waterfall,nature,3.0,1400,high,138000,afternoon,luxury,0.03938352286347328
goa,goa,miramar beach,beach,scenic,1.5,450,medium,126000,evening,moderate,0.03585400625136216
goa,goa,palolem beach,beach,scenic,2.0,600,medium,124199,evening,moderate,0.03532428463316115
goa,goa,calangute beach,beach,scenic,2.0,600,medium,114400,evening,moderate,0.03244214019298808
goa,goa,chapora fort,fort,historical,1.0,300,low,79800,evening,budget,0.02226536729473434
goa,goa,anjuna beach,beach,scenic,2.0,600,medium,79200,evening,moderate,0.02208889146412878
goa,goa,arambol beach,beach,scenic,2.0,600,medium,46000,evening,moderate,0.012323895503954673
goa,goa,colva beach,beach,scenic,2.0,600,medium,43000,evening,moderate,0.011441516350926892
goa,goa,se cathedral,church,historical,1.0,300,low,22500,afternoon,budget,0.005411925471903722
goa,goa,dr. salim ali bird santuary,bird sanctuary,wildlife,2.0,610,medium,11700,afternoon,moderate,0.0022353605210037116
goa,goa,aguada beach,beach,scenic,2.0,600,medium,4500,evening,moderate,0.00011765055373703745
karnataka,gokarna,om beach,beach,nature,2.0,600,medium,40500,all,moderate,0.010706200390070407
uttar pradesh,greater noida,buddh international circuit,race track,sports,2.0,2100,high,3403999,all,luxury,0.9999999999999998
uttar pradesh,greater noida,the grand venice mall,mall,shopping,2.0,600,medium,189000,all,moderate,0.05438396846494556
andhra pradesh,guntur,uppalapadu bird sanctuary,bird sanctuary,wildlife,1.0,310,medium,308000,all,moderate,0.0893850082017142
haryana,gurugram,ambience mall,mall,shopping,2.0,600,medium,552000,afternoon,moderate,0.16115184598130705
haryana,gurugram,dlf cyberhub,commercial complex,entertainment,2.0,600,medium,333700,afternoon,moderate,0.09694405627931886
haryana,gurugram,kingdom of dreams,entertainment,entertainment,3.0,2000,high,132000,afternoon,luxury,0.03761876455741772
assam,guwahati,kamakhya temple,temple,religious,2.0,600,medium,96599,all,moderate,0.02720639642530557
assam,guwahati,pobitora wildlife sanctuary,wildlife sanctuary,wildlife,2.0,1100,high,16280,all,luxury,0.0035824593612927905
assam,guwahati,umananda island,island,nature,1.0,300,low,4100,morning,budget,0.0
madhya pradesh,gwalior,gwalior fort,fort,historical,2.5,825,medium,180000,morning,moderate,0.05173683100586222
assam,hajo,hayagriva madhava temple,temple,religious,1.0,300,low,405000,all,budget,0.11791526748294578
karnataka,halebidu,halebidu hoysaleswara temple,temple,religious,1.0,315,medium,51700,all,moderate,0.014000415894707456
karnataka,hampi,hampi archaeological ruins,site,historical,3.0,900,medium,23500,all,moderate,0.005706051856246316
uttarakhand,haridwar,har ki pauri,ghat,religious,1.0,300,low,11250,all,budget,0.0021030036480495446
andaman and nicobar islands,havelock island,radhanagar beach,beach,nature,1.0,300,low,43200,morning,budget,0.01150034162779541
ladakh,hemis,hemis national park,national park,wildlife,4.0,1220,high,8800,all,luxury,0.00138239400641019
west bengal,hooghly,hangseswari temple,temple,architectural,0.5,150,low,32199,all,budget,0.008264657273642539
telangana,hyderabad,charminar,landmark,historical,1.0,325,medium,945000,morning,moderate,0.27674351502794636
telangana,hyderabad,inorbit mall cyberabad,mall,shopping,2.0,600,medium,540000,all,moderate,0.15762232936919593
telangana,hyderabad,golconda fort,fort,historical,2.0,630,medium,528000,morning,moderate,0.1540928127570848
telangana,hyderabad,nehru zoological park,zoo,wildlife,3.0,950,medium,361200,morning,moderate,0.10503253184874019
telangana,hyderabad,lumbini park,park,recreational,1.0,320,medium,299300,evening,moderate,0.08682610865793364
telangana,hyderabad,salar jung museum,museum,historical,2.0,620,medium,294800,all,moderate,0.08550253992839196
telangana,hyderabad,hussain sagar lake,lake,scenic,1.0,300,low,215000,evening,budget,0.06203125445785299
telangana,hyderabad,ramoji film city,film studio,entertainment,4.0,2350,high,198000,all,luxury,0.0570311059240289
telangana,hyderabad,chowmahalla palace,palace,historical,1.5,530,medium,198000,morning,moderate,0.0570311059240289
telangana,hyderabad,birla mandir,temple,religious,1.0,300,low,192700,all,budget,0.055472236087013155
telangana,hyderabad,qutb shahi tombs,tombs,historical,1.0,325,medium,88000,morning,moderate,0.024677203646343605
madhya pradesh,indore,rajwada palace,palace,historical,1.0,310,medium,277200,afternoon,moderate,0.08032591556396232
madhya pradesh,jabalpur,dhuandhar falls,waterfall,nature,1.0,300,low,4500,morning,budget,0.00011765055373703745
rajasthan,jaipur,amber fort,fort,historical,2.0,700,medium,690000,all,moderate,0.20174128702058497
rajasthan,jaipur,hawa mahal,palace,architectural,1.0,350,medium,572000,morning,moderate,0.16703437366815893
rajasthan,jaipur,albert hall museum,museum,historical,2.0,800,medium,283500,all,moderate,0.08217891178532066
rajasthan,jaipur,city palace,palace,historical,2.0,800,medium,224400,morning,moderate,0.06479604247067337
rajasthan,jaipur,jaigarh fort,fort,historical,1.5,485,medium,135000,all,moderate,0.0385011437104455
rajasthan,jaisalmer,jaisalmer fort,fort,historical,2.5,800,medium,246400,all,moderate,0.07126682292621044
west bengal,jalpaiguri,gorumara national park,national park,wildlife,3.0,1000,medium,30800,all,moderate,0.00785317446194725
jammu and kashmir,jammu,vaishno devi,temple,religious,5.0,1500,high,258500,all,luxury,0.07482575217675581
uttar pradesh,jhansi,jhansi fort,fort,historical,1.5,465,medium,110000,all,moderate,0.031147984101880664
uttarakhand,jim corbett,jim corbett national park,national park,wildlife,3.0,1000,medium,132000,all,moderate,0.03761876455741772
rajasthan,jodhpur,mehrangarh fort,fort,historical,2.0,700,medium,294400,all,moderate,0.08538488937465492
uttarakhand,joshimath,valley of flowers,national park,nature,5.0,1650,high,16450,morning,luxury,0.0036324608466310315
gujarat,junagadh,gir national park,national park,wildlife,3.0,4400,high,36000,morning,luxury,0.009382631660528737
andhra pradesh,kadapa,gandikota fort,fort,historical,1.5,450,medium,6750,morning,moderate,0.0007794349185078731
himachal pradesh,kangra,kangra fort,fort,historical,2.0,750,medium,44000,all,moderate,0.011735642735269485
madhya pradesh,kanha,kanha national park,wildlife sanctuary,wildlife,3.0,1000,medium,45000,morning,moderate,0.01202976911961208
kerala,kannur,st. angelo fort,fort,historical,1.0,320,medium,48400,all,moderate,0.013029798826376898
uttar pradesh,kanpur,allen forest zoo,zoo,wildlife,2.0,750,medium,88200,all,moderate,0.024736028923212125
tamil nadu,kanyakumari,vivekananda rock memorial,memorial,historical,1.0,320,medium,216199,morning,moderate,0.062383911992679765
ladakh,kargil,kargil war memorial,war memorial,historical,1.0,300,low,5280,all,budget,0.0003470691335242605
assam,kaziranga,kaziranga national park,national park,wildlife,3.0,1550,high,30600,morning,luxury,0.007794349185078731
uttarakhand,kedarnath,kedarnath,temple,religious,1.5,450,medium,960000,all,moderate,0.28115541079308526
odisha,kendujhar,sanaghagara waterfall,waterfall,nature,1.0,300,low,24200,all,budget,0.005911940325286132
odisha,keonjhar,badaghagara waterfall,waterfall,nature,1.0,300,low,7735,morning,budget,0.0010691494070853278
gujarat,kevadia,statue of unity,monument,historical,3.0,1250,high,308200,all,luxury,0.08944383347858272
madhya pradesh,khajuraho,khajuraho group of monuments,temples,cultural,2.0,640,medium,42300,afternoon,moderate,0.011235627881887077
himachal pradesh,kinnaur,sangla valley,valley,nature,2.0,600,medium,4500,morning,moderate,0.00011765055373703745
jammu and kashmir,kishtwar,kishtwar national park,national park,wildlife,3.0,1000,medium,4300,all,moderate,5.8825276868518726e-05
kerala,kochi,lulu international shopping mall,mall,shopping,3.0,900,medium,873999,all,moderate,0.25586024761323783
kerala,kochi,wonderla amusement park,amusement park,entertainment,5.5,2400,high,188599,all,luxury,0.05426602378482418
kerala,kochi,fort kochi,site,historical,1.0,300,low,44000,all,budget,0.011735642735269485
kerala,kochi,kerala folklore museum,cultural,cultural,1.5,550,medium,44000,all,moderate,0.011735642735269485
tamil nadu,kodaikanal,kodaikanal lake,lake,recreational,2.0,600,medium,39000,morning,moderate,0.010265010813556517
maharastra,kolhapur,mahalakshmi temple,temple,religious,1.0,300,low,432000,all,budget,0.1258566798601958
west bengal,kolkata,howrah bridge,bridge,architectural,0.5,150,low,552000,anytime,budget,0.16115184598130705
west bengal,kolkata,science city kolkata,science,educational,3.0,960,medium,387200,all,moderate,0.11267981784164761
west bengal,kolkata,dakshineswar kali temple,temple,religious,1.0,300,low,385400,morning,budget,0.11215039034983094
west bengal,kolkata,victoria memorial,museum,historical,1.5,480,medium,335800,morning,moderate,0.0975617216864383
west bengal,kolkata,alipore zoological gardens,zoo,wildlife,2.0,625,medium,283800,afternoon,moderate,0.08226714970062343
west bengal,kolkata,belur math,site,religious,1.5,450,medium,220900,morning,moderate,0.0637666001254743
west bengal,kolkata,kalighat kali temple,temple,religious,1.0,300,low,220000,morning,budget,0.06350188637956597
west bengal,kolkata,indian museum,museum,historical,2.0,650,medium,82800,morning,moderate,0.02314774644776212
west bengal,kolkata,marble palace,palace,historical,1.0,300,low,44000,afternoon,budget,0.011735642735269485
west bengal,kolkata,eden gardens,cricket ground,sports,3.0,3400,high,41000,all,luxury,0.010853263582241705
odisha,konark,sun temple,temple,historical,1.5,490,medium,390100,all,moderate,0.11353278435624115
kerala,kovalam,kovalam beach,beach,recreational,2.0,600,medium,299200,all,moderate,0.08679669601949938
kerala,kozhikode,kozhikode beach,beach,recreational,1.5,450,medium,23010,all,moderate,0.005561929927918445
himachal pradesh,kufri,kufri fun world,ski resort,recreational,5.0,3000,high,38000,all,luxury,0.009970884429213924
himachal pradesh,kullu,great himalayan national park,national park,wildlife,3.0,950,medium,90000,all,moderate,0.02526545641502879
kerala,kumarakom,kumarakom bird sanctuary,bird sanctuary,wildlife,2.0,650,medium,38000,all,moderate,0.009970884429213924
andhra pradesh,kurnool,belum caves,cave,natural wonder,1.5,515,medium,48400,afternoon,moderate,0.013029798826376898
ladakh,leh,pangong tso,lake,nature,2.0,620,medium,73500,morning,moderate,0.020412371073376
ladakh,leh,magnetic hill,gravity hill,nature,0.5,150,low,37000,all,budget,0.00967675804487133
ladakh,leh,thiksey monastery,monastery,religious,1.5,470,medium,23500,all,moderate,0.005706051856246316
ladakh,leh,khardung la pass,hill,adventure,1.0,300,low,22500,afternoon,budget,0.005411925471903722
maharastra,lonavala,imagicaa,amusement park,recreational,5.0,2649,high,133000,all,luxury,0.03791289094176032
maharastra,lonavala,karla caves,cave,historical,1.5,475,medium,118800,afternoon,moderate,0.03373629628409549
uttar pradesh,lucknow,bara imambara,monument,historical,1.5,500,medium,198000,all,moderate,0.0570311059240289
uttar pradesh,lucknow,phoenix palassio,mall,shopping,2.0,600,medium,161000,all,moderate,0.04614842970335294
tamil nadu,madurai,meenakshi amman temple,temple,religious,2.0,600,medium,305500,all,moderate,0.08864969224085772
tamil nadu,mahabalipuram,shore temple,temple,historical,1.0,340,medium,41400,all,moderate,0.010970914135978742
assam,majuli,majuli island,river island,cultural,2.0,600,medium,4700,morning,moderate,0.00017647583060555617
himachal pradesh,manali,solang valley,valley,adventure,2.0,600,medium,20500,morning,moderate,0.004823672703218536
assam,manas,manas national park,national park,wildlife,3.0,1400,high,87400,morning,luxury,0.02450072781573805
himachal pradesh,mandi,prashar lake,lake,nature,1.5,450,medium,4600,morning,moderate,0.00014706319217129682
madhya pradesh,mandu,jahaz mahal,site,historical,1.0,350,medium,11700,afternoon,moderate,0.0022353605210037116
karnataka,mangalore,panambur beach,beach,recreational,1.5,450,medium,45000,all,moderate,0.01202976911961208
himachal pradesh,manikaran,manikaran sahib,gurudwara,religious,1.0,300,low,598000,morning,budget,0.17468165966106636
maharashtra,matheran,echo point,viewpoint,nature,1.5,450,medium,8800,morning,moderate,0.00138239400641019
uttar pradesh,mathura,krishna janmabhoomi,temple,religious,1.0,300,low,61100,all,budget,0.016765203907527837
uttar pradesh,mathura,barsana mandir,temple,religious,1.0,300,low,48000,morning,budget,0.01291214827263986
uttar pradesh,mathura,nand gaon,village,cultural,1.0,300,low,4100,morning,budget,0.0
himachal pradesh,mcleod ganj,triund trek,trekking,adventure,5.0,1500,high,4800,morning,luxury,0.00020588846903981555
uttar pradesh,meerut,augarnath temple,temple,religious,1.0,300,low,21600,all,budget,0.005147211725995388
rajasthan,mount abu,dilwara temples,temple,religious,1.0,300,low,23000,all,budget,0.00555898866407502
maharastra,mumbai,gateway of india,monument,historical,1.0,300,low,1655999,all,budget,0.4858670801691461
maharastra,mumbai,marine drive,promenade,scenic,2.0,600,medium,675000,evening,moderate,0.19732939125544607
maharastra,mumbai,siddhivinayak temple,temple,religious,2.0,600,medium,504000,all,moderate,0.14703377953286256
maharastra,mumbai,sanjay gandhi national park,national park,wildlife,3.0,950,medium,258000,all,moderate,0.07467868898458452
maharastra,mumbai,chhatrapati shivaji maharaj vastu sangrahalaya,museum,historical,1.0,800,medium,156400,all,moderate,0.04479544833537701
maharastra,mumbai,mahalaxmi temple,temple,religious,1.0,300,low,155100,all,budget,0.04441308403573164
maharastra,mumbai,elephanta caves,monument,historical,4.0,1750,high,150500,all,luxury,0.04306010266775571
maharastra,mumbai,essel world,amusement park,recreational,5.0,2649,high,116100,all,luxury,0.032942155046370485
maharastra,mumbai,haji ali dargah,religious shrine,religious,2.0,600,medium,70400,all,moderate,0.019500579281913958
maharastra,mumbai,chowpatty beach,beach,recreational,2.0,600,medium,21500,evening,moderate,0.0051177990875611295
kerala,munnar,munnar tea gardens,scenic area,nature,2.0,600,medium,129000,all,moderate,0.03673638540438994
west bengal,murshidabad,hazarduari palace,palace,historical,1.5,460,medium,81000,morning,moderate,0.02261831895594545
karnataka,murudeshwar,murudeshwar temple,temple,religious,1.0,300,low,230300,all,budget,0.06653138813829468
uttarakhand,mussoorie,kempty falls,waterfall,nature,1.5,465,medium,231000,morning,moderate,0.0667372766073345
karnataka,mysore,mysore palace,palace,historical,2.0,650,medium,1150000,all,moderate,0.33703942381817803
maharastra,nagpur,deekshabhoomi,monument,religious,1.0,300,low,49500,afternoon,budget,0.01335333784915375
uttarakhand,nainital,naini lake,lake,nature,1.5,450,medium,4200,morning,moderate,2.9412638434259363e-05
sikkim,namchi,char dham,religious complex,religious,2.0,650,medium,56400,all,moderate,0.015382809901117647
himachal pradesh,narkanda,hatu peak,viewpoint,nature,2.0,600,medium,495000,all,moderate,0.14438664207377921
maharastra,nashik,sula vineyards,vineyard,recreational,2.0,900,medium,41000,afternoon,moderate,0.010853263582241705
andaman and nicobar islands,neil island,bharatpur beach,beach,nature,1.0,300,low,18000,morning,budget,0.004088356742362052
kerala,nelliyampathy,seethargundu viewpoint,viewpoint,nature,1.0,300,low,13500,morning,budget,0.00276478801282038
delhi,new delhi,gurudwara bangla sahib,gurudwara,religious,1.0,300,low,504000,all,budget,0.14703377953286256
delhi,new delhi,jama masjid,mosque,historical,1.0,300,low,220500,all,budget,0.06364894957173726
delhi,new delhi,rail museum,museum,cultural,2.0,650,medium,105600,morning,moderate,0.029853828010773253
uttar pradesh,noida,dlf mall of india,mall,shopping,2.0,600,medium,690000,all,moderate,0.20174128702058497
uttar pradesh,noida,okhla bird sanctuary,bird sanctuary,wildlife,1.5,480,medium,15050,all,moderate,0.0032206839085514
ladakh,nubra valley,nubra valley,valley,nature,2.0,600,medium,45000,all,moderate,0.01202976911961208
tamil nadu,ooty,ooty lake,lake,recreational,1.0,310,medium,250099,morning,moderate,0.07235479642189369
madhya pradesh,orchha,orchha fort,fort,historical,1.5,460,medium,48000,afternoon,moderate,0.01291214827263986
madhya pradesh,pachmarhi,bee falls,waterfall,nature,1.5,465,medium,29899,morning,moderate,0.007588166589654573
jammu and kashmir,pahalgam,betaab valley,valley,nature,2.0,700,medium,50599,all,moderate,0.013676582745546262
himachal pradesh,palampur,tea gardens,tea plantation,agricultural,1.5,450,medium,6899,morning,moderate,0.0008232597497749196
bihar,patna,sanjay gandhi biological park,zoo,wildlife,2.5,780,medium,215000,all,moderate,0.06203125445785299
bihar,patna,budhha smriti park,park,cultural,1.0,310,medium,136400,all,moderate,0.03891292064852514
bihar,patna,takhat shri harimandir ji patna sahib,gurudwara,religious,1.0,300,low,117500,all,budget,0.033353931984450115
sikkim,pelling,pemayangtse monastery,monastery,religious,1.0,320,medium,6899,morning,moderate,0.0008232597497749196
uttar pradesh,porbandar,kirti mandir,memorial,historical,1.0,300,low,14400,morning,budget,0.0030295017587287144
andaman and nicobar islands,port blair,cellular jail,landmark,historical,1.5,480,medium,56400,afternoon,moderate,0.015382809901117647
